square_footage,bedrooms,bathrooms,price_thousands
1331,3,2.2,330
1566,3,2.2,406
2039,4,4.0,536
1311,2,2.0,455
687,6,1.0,583
1773,2,2.0,627
1819,2,2.5,615
1215,2,1.5,276
2074,5,4.8,739
1394,3,2.2,261
1190,2,1.5,408
1513,3,3.2,634
1363,2,2.5,452
3256,1,1.0,418
1452,2,2.0,552
1196,1,1.8,248
2042,5,4.8,678
975,1,1.8,181
1880,2,2.0,370
2060,6,4.5,621
1014,2,1.5,256
1147,2,2.0,397
1278,3,2.2,288
1409,2,2.0,399
1707,3,3.2,524
1216,2,1.5,265
2172,5,3.8,608
1647,3,2.8,250
1247,3,3.2,394
1758,3,3.2,339
3282,6,5.0,374
2191,4,4.0,845
1047,1,1.2,224
1987,2,1.5,294
1367,3,2.2,423
2135,5,3.8,985
1229,3,3.2,300
1911,2,1.5,383
1196,2,1.5,280
996,2,2.0,240
2130,6,4.5,524
1748,3,2.2,538
1878,2,2.0,443
2191,4,4.0,649
1777,3,3.2,546
1190,1,1.0,153
1824,2,2.5,369
1985,2,2.0,621
2170,6,5.0,1072
1587,2,2.0,570
1962,3,2.2,555
913,2,1.5,225
955,2,1.5,266
1085,2,1.5,313
1926,2,1.5,421
1017,2,2.0,167
914,2,1.5,212
1996,2,2.0,365
1207,3,2.2,407
1791,3,2.2,574
934,2,1.5,228
2169,5,4.2,822
1238,2,2.5,324
2117,5,3.8,914
1870,2,2.0,412
2172,4,4.0,680
1703,3,3.2,450
1022,1,1.8,222
1458,3,2.2,523
1274,3,2.8,339
1330,3,2.2,375
1076,1,1.2,253
1898,2,1.5,385
1980,3,2.8,464
1536,3,3.2,378
1496,3,3.2,552
968,2,2.0,154
1233,3,3.2,295
1294,2,1.5,251
1169,2,2.5,320
1534,2,2.5,336
2117,4,3.0,354
1485,2,2.5,496
2143,6,5.0,672
2067,5,4.2,563
938,1,1.2,128
1539,2,2.0,373
1027,2,1.5,271
1855,2,1.5,628
1762,3,2.2,507
911,1,1.2,224
1760,3,2.2,542
1382,2,2.5,401
1184,1,1.0,296
3998,1,1.8,592
1226,2,1.5,271
1527,3,2.8,406
2032,4,3.0,641
2184,4,3.5,435
2050,6,5.0,650
1126,2,1.5,288
2069,6,5.0,623
1902,3,3.2,483
1090,1,1.0,131
989,1,1.2,193
903,1,1.2,230
1443,2,2.0,283
1761,3,2.2,426
1052,2,2.5,233
1295,2,2.5,593
1061,1,1.2,225
1443,2,2.0,420
1057,1,1.2,277
1373,2,2.5,275
711,1,1.0,366
1298,2,2.5,348
1551,3,3.2,435
1558,2,2.5,553
1764,2,2.0,422
1478,3,2.2,511
1456,2,1.5,513
1454,3,2.2,407
1669,2,2.5,592
1444,2,2.5,431
2169,5,3.8,462
1249,3,2.8,375
1976,3,3.2,371
2024,5,3.8,649
1456,2,1.5,212
1316,3,3.2,367
1588,3,3.2,341
998,2,2.0,298
2012,4,3.0,437
964,1,1.0,183
964,2,1.5,384
2199,6,4.5,579
1880,3,2.2,386
955,2,2.0,251
1971,2,2.5,476
1996,3,2.8,388
2072,5,3.8,620
2149,4,4.0,925
1111,2,2.0,340
1289,3,2.8,231
2017,5,4.8,648
1016,2,2.0,311
1267,3,2.8,591
1957,2,2.0,461
1332,2,1.5,196
1725,3,2.8,508
1782,2,1.5,246
1734,2,1.5,279
2144,4,3.5,571
1678,3,2.8,725
1146,2,1.5,385
1372,2,2.0,251
2098,5,3.8,727
2109,5,3.8,799
1321,2,1.5,294
1887,3,2.8,330
999,2,1.5,183
994,1,1.2,216
1063,1,1.8,219
973,2,2.0,325
1729,3,3.2,688
941,1,1.0,229
1051,2,2.0,296
1342,3,3.2,323
1486,2,2.0,484
1166,1,1.0,234
2057,4,3.5,495
1275,3,3.2,350
1075,7,6.2,508
1543,2,2.5,329
1108,2,1.5,337
1754,3,3.2,515
2139,6,5.5,744
1685,3,3.2,812
956,1,1.8,335
2048,6,5.0,693
1115,1,1.8,125
955,1,1.8,219
1004,1,1.8,183
2094,5,4.2,708
1225,2,2.0,260
2016,5,4.2,758
1063,2,2.0,362
1650,3,3.2,387
1335,2,2.5,237
1858,3,2.8,419
1171,2,2.5,278
1380,3,3.2,601
1330,2,1.5,385
1924,3,2.2,511
957,1,1.0,248
1100,2,2.5,471
1989,3,3.2,290
726,1,1.8,247
1418,2,2.0,395
2785,6,5.5,1623
1288,2,2.5,300
1769,3,2.2,450
1572,3,2.8,308
1960,3,2.2,499
1132,1,1.2,284
1683,2,1.5,489
2167,6,5.0,721
1003,1,1.0,127
2120,6,5.5,505
901,1,1.0,212
1783,3,3.2,559
1863,3,2.2,406
914,2,1.5,302
1603,2,2.5,352
1273,2,1.5,332
2098,6,4.5,805
2120,4,4.0,468
1892,2,1.5,367
1180,1,1.8,167
984,1,1.0,256
1965,3,2.2,471
2119,5,4.8,624
1800,3,3.2,480
1967,3,2.8,593
1816,2,2.0,330
1832,2,2.5,536
2126,4,3.0,517
1661,3,3.2,345
1188,1,1.8,244
843,7,1.0,276
1594,2,2.5,388
2179,4,3.5,589
1238,2,1.5,322
918,2,1.5,201
1338,2,2.5,326
2124,4,3.5,836
1666,2,2.0,338
1102,2,1.5,268
1187,1,1.8,275
1968,2,2.5,587
1440,2,2.5,362
1107,1,1.8,257
1889,2,2.0,292
1104,1,1.2,199
1175,1,1.0,204
2120,4,3.0,757
1188,1,1.8,311
1124,1,1.2,325
1588,3,2.8,277
1958,3,2.2,646
1482,2,1.5,365
2130,5,4.2,528
960,2,2.0,222
1421,3,2.2,567
1135,2,2.5,238
1147,1,1.0,318
1583,3,2.2,695
1309,2,1.5,286
1940,2,2.5,432
1450,3,2.2,282
2017,5,4.2,565
2015,5,4.2,382
1593,2,2.0,337
1361,2,2.5,412
1296,2,1.5,194
1727,2,1.5,328
2186,5,4.2,509
1592,3,2.2,373
1456,3,2.2,255
1729,3,2.2,415
2952,7,1.0,839
1427,3,2.2,289
1601,3,2.2,617
1591,3,2.8,619
1880,2,2.0,391
1635,3,2.2,304
1309,2,1.5,337
982,1,1.8,194
2163,4,3.5,830
1391,3,2.8,654
1363,3,2.2,656
1366,2,2.0,400
1452,3,2.2,347
1553,2,2.5,369
2198,6,5.0,660
987,2,2.0,309
1883,3,3.2,557
1484,2,1.5,354
2053,4,4.0,683
1133,1,1.0,379
1992,2,1.5,508
1392,2,1.5,194
1780,3,2.8,408
1962,2,1.5,340
1388,2,1.5,318
1864,2,2.0,426
2170,5,4.8,651
1132,2,1.5,362
1322,3,3.2,611
907,1,1.8,204
1237,2,1.5,370
1983,3,2.2,399
2101,6,5.5,504
1253,2,2.5,381
1081,1,1.2,259
2002,6,5.5,770
1861,2,2.0,287
2094,6,5.0,543
1321,3,2.2,568
1098,2,2.0,183
1870,3,2.8,345
814,6,5.5,751
1822,3,2.2,459
1822,3,2.2,588
2992,6,5.0,948
1840,3,2.8,529
1213,2,2.0,370
1170,2,2.0,368
1402,3,2.8,402
1038,1,1.8,193
1014,2,2.0,241
1835,2,2.0,457
1671,3,3.2,562
978,2,2.0,286
1356,2,1.5,365
1560,3,2.8,390
